Общее время (s);Пройденное время цикла (s);Всего циклов;Пройденным циклам;Шаг;Общее количество циклов(8800 (0,1) Форма волны);Общее количество циклов(8800 (0,2) Форма волны);Положение(8800 (0,1):Положение) (mm);Нагрузка(8800 (0,1):Нагрузка) (kN);Вращение(8800 (0,2):Вращение) (deg);Крутящий момент(8800 (0,2):Крутящий момент) (N·m);Напряжение(8800 (0,1):Нагрузка) (MPa);Напряжение сдвига(8800 (0,2):Крутящий момент) (MPa)
0;0;1;1;1;1;1;-67,4830940536938;0,00231802463531494;-44,1566303372383;0,0413982197642326;0,0196143563658397;0,0384230372298299
0,0075;0,0075;1;1;1;1;1;-67,483304160075;0,000220388174057007;-44,1569951176643;0,00238697975873947;0,00186485170127777;0,00221543372297708
0,02;0,02;1;1;1;1;1;-67,4835947327299;0,00133559107780457;-44,1551658511162;0,0448739156126976;0,0113013291403331;0,041648943844793
0,025;0,025;1;1;1;1;1;-67,4834785036679;0,000796616077423096;-44,1700601577759;0,0938503071665764;0,00674070128129206;0,0871055293398842
0,03;0,03;1;1;1;1;1;-67,4833399228633;-0,00129580497741699;-44,1528537869453;0,2177394926548;-0,0109646723423337;0,202091120833847
0,075;0,075;1;1;1;1;1;-67,4829018287067;0,00505611300468445;-44,1211527585983;2,16351915150881;0,0427831528573739;2,00803264921298
0,0825;0,0825;1;1;1;1;1;-67,4830269984657;0,0122122466564178;-44,088499546051;3,79260256886482;0,103335984569452;3,52003807244253
0,0875;0,0875;1;1;1;1;1;-67,4829688839347;0,00933557748794556;-44,0642040967941;5,06746582686901;0,0789945632758974;4,70328021918718
0,0925;0,0925;1;1;1;1;1;-67,4824950269898;0,0108446180820465;-44,0443986654282;6,34363014250994;0,091763564749082;5,88772991993533
0,0975;0,0975;1;1;1;1;1;-67,4824950269898;0,0097385048866272;-44,0165010094643;7,62856192886829;0,0824040014099441;7,08031699605146
0,1025;0,1025;1;1;1;1;1;-67,4826336077945;0,010644793510437;-43,9881178736687;9,03927907347679;0,0900727154377814;8,38964956341183
0,1075;0,1075;1;1;1;1;1;-67,4830404095113;0,0125236809253693;-43,9565187692642;10,4461014270782;0,105971238156788;9,69536724827923
0,1125;0,1125;1;1;1;1;1;-67,4830985240423;0,011177659034729;-43,9328134059906;11,7438323795795;0,0945816469345829;10,8998336477098
0,1175;0,1175;1;1;1;1;1;-67,4822893909571;0,0145392119884491;-43,9102828502655;13,1111592054367;0,123025994148325;12,1688942458335
0,1225;0,1225;1;1;1;1;1;-67,4827811292962;0,00750288367271423;-43,8815134763718;14,4888870418072;0,0634869154908972;13,4476083608586
0,1275;0,1275;1;1;1;1;1;-67,4832013420586;0,0102964043617249;-43,8538813591003;15,8608090132475;0,0871247619032396;14,720933863387
0,1325;0,1325;1;1;1;1;1;-67,4826738409313;0,00791475176811218;-43,8382950425148;17,1939376741648;0,0669720068379775;15,9582540298652
0,1375;0,1375;1;1;1;1;1;-67,4824905566413;0,0091300904750824;-43,816722035408;18,5316260904074;0,0772558002630089;17,199806253896
0,1425;0,1425;1;1;1;1;1;-67,4828571252213;0,00894933938980103;-43,7816226482391;19,9954118579626;0,0757263444728467;18,5583935401025
0,1475;0,1475;1;1;1;1;1;-67,482754307205;0,00871926546096802;-43,757455945015;21,403418853879;0,0737795351241159;19,8652107301184
0,1525;0,1525;1;1;1;1;1;-67,4825352601267;0,0128215551376343;-43,7271603941917;22,6497650146484;0,108491751037691;21,0219852293416
0,1575;0,1575;1;1;1;1;1;-67,4828124217359;0,0102232396602631;-43,7009418010712;23,9882376044989;0,0865056664432481;22,2642652704598
0,1625;0,1625;1;1;1;1;1;-67,4826425484915;0,00347062945365906;-43,6723387241364;25,3172088414431;0,0293673164127522;23,497726796228
0,1675;0,1675;1;1;1;1;1;-67,4822268060776;0,00513821840286255;-43,6536437273026;26,5525616705418;0,0434779015303989;24,6442980259756
