Общее время (s);Пройденное время цикла (s);Всего циклов;Пройденным циклам;Шаг;Общее количество циклов(8800 (0,1) Форма волны);Общее количество циклов(8800 (0,2) Форма волны);Положение(8800 (0,1):Положение) (mm);Нагрузка(8800 (0,1):Нагрузка) (kN);Вращение(8800 (0,2):Вращение) (deg);Крутящий момент(8800 (0,2):Крутящий момент) (N·m);Напряжение(8800 (0,1):Нагрузка) (MPa);Напряжение сдвига(8800 (0,2):Крутящий момент) (MPa);;;;
0;0;1;1;1;1;1;-61.34391076;-0.004334152;-43.95258129;0.0370536;-0.038711609;0.03616779;0;0;0;
0.0025;0.0025;1;1;1;1;1;-61.3437096;-0.005858094;-43.95520985;0.037875026;-0.052323093;0.03696958;0.000201166;-0.002628565;-4.58539E-05;
0.005;0.005;1;1;1;1;1;-61.34391523;-0.006694049;-43.95531714;0.026601367;-0.059789645;0.02596543;-4.47035E-06;-0.002735853;-4.77254E-05;
0.01;0.01;1;1;1;1;1;-61.34466178;-0.009250045;-43.95202607;-0.006916001;-0.082619193;-0.006750666;-0.000751019;0.000555217;9.68546E-06;
0.02;0.02;1;1;1;1;1;-61.34476907;-0.005002618;-43.95345837;-0.005631708;-0.044682189;-0.005497075;-0.000858307;-0.000877082;-1.53002E-05;
0.1425;0.1425;1;1;1;1;1;-61.34256519;0.122687072;-43.95261079;-0.017437153;1.095811643;-0.017020297;0.001345575;-2.95043E-05;-5.14686E-07;
0.195;0.195;1;1;1;1;1;-61.34033896;0.235069692;-43.95189196;-0.015462749;2.099586389;-0.015093094;0.003571808;0.000689328;1.20249E-05;
0.2425;0.2425;1;1;1;1;1;-61.33845694;0.352537483;-43.95561755;-0.047784299;3.148780663;-0.046641959;0.005453825;-0.003036261;-5.29659E-05;
0.2875;0.2875;1;1;1;1;1;-61.33668221;0.469549745;-43.95207435;-0.044602901;4.193906264;-0.043536616;0.007228554;0.000506938;8.84324E-06;
0.3275;0.3275;1;1;1;1;1;-61.33441127;0.583019108;-43.95290047;-0.068929046;5.207387528;-0.067281217;0.009499491;-0.000319183;-5.56797E-06;
0.37;0.37;1;1;1;1;1;-61.33282877;0.699172616;-43.95273685;-0.061198138;6.244842944;-0.059735125;0.011081994;-0.000155568;-2.7138E-06;
0.4125;0.4125;1;1;1;1;1;-61.330683;0.814091116;-43.95462781;-0.066922046;7.271267562;-0.065322197;0.013227761;-0.002046525;-3.57005E-05;
0.4525;0.4525;1;1;1;1;1;-61.32825113;0.931841582;-43.95306945;-0.112727284;8.322986621;-0.110032407;0.015659631;-0.000488162;-8.51572E-06;
0.4925;0.4925;1;1;1;1;1;-61.32618583;1.051977873;-43.95310968;-0.107800588;9.396015299;-0.105223489;0.017724932;-0.000528395;-9.21756E-06;
0.5325;0.5325;1;1;1;1;1;-61.32430382;1.166666001;-43.95245254;-0.08302927;10.42038229;-0.081044359;0.019606949;0.000128746;2.2459E-06;
0.575;0.575;1;1;1;1;1;-61.32181383;1.283718199;-43.95269662;-0.124082901;11.46586458;-0.121116554;0.022096933;-0.000115335;-2.01195E-06;
0.615;0.615;1;1;1;1;1;-61.32025368;1.399629563;-43.95559877;-0.121321529;12.50115723;-0.118421197;0.023657084;-0.003017485;-5.26384E-05;
0.6575;0.6575;1;1;1;1;1;-61.31768323;1.520525217;-43.95771235;-0.104684383;13.58096836;-0.102181781;0.026227535;-0.005131066;-8.95086E-05;
0.7;0.7;1;1;1;1;1;-61.31581462;1.637570262;-43.94922853;-0.120775774;14.62638676;-0.117888489;0.028096141;0.003352761;5.84871E-05;
0.74;0.74;1;1;1;1;1;-61.31318606;1.749665439;-43.95662069;-0.133964233;15.62759413;-0.130761662;0.030724705;-0.004039407;-7.04652E-05;
0.785;0.785;1;1;1;1;1;-61.31162591;1.866099536;-43.95472705;-0.145808794;16.6675557;-0.142323065;0.032284857;-0.002145767;-3.74317E-05;
0.8225;0.8225;1;1;1;1;1;-61.3093952;1.987629831;-43.95418525;-0.180270523;17.75303529;-0.175960946;0.034515561;-0.001603961;-2.79802E-05;
0.865;0.865;1;1;1;1;1;-61.30758024;2.107437849;-43.95667434;-0.177097507;18.82313191;-0.172863785;0.036330523;-0.004093051;-7.1401E-05;
0.9;0.9;1;1;1;1;1;-61.30576975;2.22091794;-43.95367563;-0.150894746;19.836709;-0.147287432;0.038141014;-0.001094341;-1.90902E-05;
0.9375;0.9375;1;1;1;1;1;-61.30326188;2.339843214;-43.95272076;-0.156381167;20.89892116;-0.152642694;0.040648879;-0.000139475;-2.43306E-06;
0.98;0.98;1;1;1;1;1;-61.3008926;2.454912961;-43.95325452;-0.181957148;21.92669668;-0.17760725;0.043018164;-0.000673234;-1.17442E-05;
1.02;1.02;1;1;1;1;1;-61.29902399;2.571465075;-43.95390898;-0.187798403;22.96771235;-0.183308864;0.04488677;-0.001327693;-2.31609E-05;
1.065;1.065;1;1;1;1;1;-61.29674859;2.685342729;-43.95482898;-0.233090483;23.98484038;-0.227518183;0.047162177;-0.002247691;-3.92097E-05;
1.11;1.11;1;1;1;1;1;-61.29483528;2.798018157;-43.95562559;-0.233815983;24.99123042;-0.22822634;0.049075486;-0.003044307;-5.31062E-05;
1.1525;1.1525;1;1;1;1;1;-61.29281021;2.910728455;-43.95586699;-0.239294022;25.99793189;-0.23357342;0.051100554;-0.003285706;-5.73173E-05;
